Rank,Name,Birth Date,Age,Debut,Final Game,Team,Profile Link
#,Name,Address,Age,Born on,First Game,Last Game,
471.,Randy Schwartz,,81.128,02-09-1944,09-08-1965,09-22-1966,https://www.baseball-almanac.com/players/player.php?p=schwara01
472.,Dick Bosman,,81.120,02-17-1944,06-01-1966,09-19-1976,https://www.baseball-almanac.com/players/player.php?p=bosmadi01
473.,Syd O'Brien,,81.119,02-18-1944,04-15-1969,10-01-1972,https://www.baseball-almanac.com/players/player.php?p=obrisy01
474.,Don Shaw,,81.114,02-23-1944,04-11-1967,05-19-1972,https://www.baseball-almanac.com/players/player.php?p=shawdo01
475.,Vern Fuller,,81.108,03-01-1944,09-05-1964,10-01-1970,https://www.baseball-almanac.com/players/player.php?p=fulleve01
476.,Ed Acosta,,81.100,03-09-1944,09-07-1970,10-04-1972,https://www.baseball-almanac.com/players/player.php?p=acosted01
477.,Johnny Briggs,,81.099,03-10-1944,04-17-1964,09-28-1975,https://www.baseball-almanac.com/players/player.php?p=briggjo02
478.,Joe Campbell,,81.099,03-10-1944,05-03-1967,05-03-1967,https://www.baseball-almanac.com/players/player.php?p=campbjo02
479.,Joe Moock,,81.097,03-12-1944,09-01-1967,10-01-1967,https://www.baseball-almanac.com/players/player.php?p=moockjo01
480.,Wayne Granger,,81.094,03-15-1944,06-05-1968,06-25-1976,https://www.baseball-almanac.com/players/player.php?p=grangwa01
481.,Dave Watkins,,81.094,03-15-1944,04-09-1969,10-02-1969,https://www.baseball-almanac.com/players/player.php?p=watkida01
482.,Rick Renick,,81.093,03-16-1944,07-11-1968,10-02-1972,https://www.baseball-almanac.com/players/player.php?p=renicri01
483.,Cito Gaston,,81.092,03-17-1944,09-14-1967,10-01-1978,https://www.baseball-almanac.com/players/player.php?p=gastoci01
484.,Steve Blateric,,81.089,03-20-1944,09-17-1971,04-21-1975,https://www.baseball-almanac.com/players/player.php?p=blatest01
485.,Bob Taylor,,81.089,03-20-1944,04-09-1970,09-26-1970,https://www.baseball-almanac.com/players/player.php?p=taylobo01
486.,Manny Sanguillen,,81.088,03-21-1944,07-23-1967,10-05-1980,https://www.baseball-almanac.com/players/player.php?p=sanguma01
487.,Jim Britton,,81.084,03-25-1944,09-20-1967,09-25-1971,https://www.baseball-almanac.com/players/player.php?p=brittji02
